gid,nombre,distrito,uv,mz,direccion,capacidad,dependencia,servicio,telefono,categoria,horario,red,point_x,point_y
10,CENTRO DE SALUD PUEBLO NUEVO,14, ,,Normandía,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3229902,1,24 Horas,ESTE,-63.0642515031,-17.8507202119
11,CENTRO DE SALUD PAURITO - HOSPITAL SAN PANTALEÓN, , ,,Localidad Paurito - Las Brechas,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3884241,1,24 Horas,ESTE,-62.9443071578,-17.8777932904
19,CENTRO DE SALUD NORTE,5,77,,Barrio Universitario Norte (km 6 1/2 al Norte pasando el Surtidor L¾pez entrando por el Kiosko Susy tres cuadras estß a la derecha ),0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",,0,,NORTE,-63.1594369037,-17.7220038187
2,CENTRO DE SALUD SANTA ROSITA,1,30,EQ,"Entre 2° y 3° anillo, entre Av. Pirai y Av. Roca y Coronado, Barrio Santa Rosita,  Calle Mataral S/N., lado de la plazuela, zona complejo deportivo Santa Rosita",4,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3524933
",1,24 Horas,CENTRO,-63.1979661844,-17.7882449360
21,CENTRO DE SALUD EL TATU,15,290,20A,,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",,0,24 Horas,,-63.0753390093,-17.8153050853
24,CENTRO DE SALUD EL TRAPICHE,6,305,,Carretera Cotoca entrando por Urbanización Barrio Trapiche,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",,0,12 Horas,,-63.0768186731,-17.7496897258
1,CENTRO DE SALUD SAN CARLOS,1,62,EQ,"Entre 3° y 4° anillo, Radial 27, por la Av. Principal de Zoológico, entrando 4 cuadras y 1 a la derecha,  entre calle 3 y 4",12,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3435058
",1,24 Horas,CENTRO,-63.1800380465,-17.7563398438
3,CENTRO DE SALUD VIRGEN DE FÁTIMA,4,51,EQ,Entre 3er y 4to anillo. Barrio Villa Fátima Av. Fátima N° 510.  Ingresando por la Av. Escuadrón Velasco y continuando la Av. Fátima. Frente a la plazuela del mismo nombre.,12,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.","+591 3 3526720
",1,24 Horas,CENTRO,-63.1991867164,-17.8150098771
22,CENTRO DE SALUD  BOLINTER,6,152,46,B/ Bolinter  Av. Los Chacos,4,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3646236,1,12 Horas,NORTE,-63.1138885126,-17.7631798126
5,CENTRO DE SALUD 25 DE DICIEMBRE,8,104,EQ,"Av. Principal del Plan Tres Mil,  Al lado de la Escuela 25 de Diciembre",0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de internación</b><br>
Post Parto.

<br><b>Servicios de Diagnostico</b><br>
Ecografía, 
Laboratorios, 
Monitoreo Fetal, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.",+591 3 3622308,1,24 Horas,ESTE,-63.1431881600,-17.8161535239
